date,price
17-11-1982,0.1046
18-11-1982,0.1095
19-11-1982,0.1095
22-11-1982,0.1077
23-11-1982,0.0994
24-11-1982,0.1007
26-11-1982,0.1029
29-11-1982,0.1012
30-11-1982,0.1007
01-12-1982,0.1112
02-12-1982,0.1134
03-12-1982,0.112
06-12-1982,0.1108
07-12-1982,0.1169
08-12-1982,0.1181
09-12-1982,0.1138
10-12-1982,0.1081
13-12-1982,0.1012
14-12-1982,0.0998
15-12-1982,0.099
16-12-1982,0.0985
17-12-1982,0.1003
20-12-1982,0.1051
21-12-1982,0.1046
22-12-1982,0.1059
23-12-1982,0.1086
27-12-1982,0.1116
28-12-1982,0.1142
29-12-1982,0.1134
30-12-1982,0.1095
31-12-1982,0.1046
03-01-1983,0.1042
04-01-1983,0.0994
05-01-1983,0.1051
06-01-1983,0.1055
07-01-1983,0.1016
10-01-1983,0.0959
11-01-1983,0.1003
12-01-1983,0.1029
13-01-1983,0.1073
14-01-1983,0.1077
17-01-1983,0.1151
18-01-1983,0.1191
19-01-1983,0.1164
20-01-1983,0.1173
21-01-1983,0.1304
24-01-1983,0.1304
25-01-1983,0.123
26-01-1983,0.1291
27-01-1983,0.133
28-01-1983,0.1421
31-01-1983,0.143
01-02-1983,0.1426
02-02-1983,0.1456
03-02-1983,0.1495
04-02-1983,0.1557
07-02-1983,0.1535
08-02-1983,0.1474
09-02-1983,0.1461
10-02-1983,0.1474
11-02-1983,0.1583
14-02-1983,0.1622
15-02-1983,0.1613
16-02-1983,0.1583
17-02-1983,0.1552
18-02-1983,0.1535
22-02-1983,0.1591
23-02-1983,0.1622
24-02-1983,0.1648
25-02-1983,0.1679
28-02-1983,0.1631
01-03-1983,0.1591
02-03-1983,0.1618
03-03-1983,0.1631
04-03-1983,0.1578
07-03-1983,0.1557
08-03-1983,0.1517
09-03-1983,0.1478
10-03-1983,0.1522
11-03-1983,0.15
14-03-1983,0.1474
15-03-1983,0.1443
16-03-1983,0.1465
17-03-1983,0.1465
18-03-1983,0.1478
21-03-1983,0.15
22-03-1983,0.1535
23-03-1983,0.1552
24-03-1983,0.1478
25-03-1983,0.1505
28-03-1983,0.15
29-03-1983,0.1487
30-03-1983,0.1526
31-03-1983,0.1544
04-04-1983,0.1474
05-04-1983,0.1435
06-04-1983,0.1408
07-04-1983,0.1395
08-04-1983,0.1382
11-04-1983,0.1373
12-04-1983,0.1452
13-04-1983,0.1483
14-04-1983,0.1535
15-04-1983,0.157
18-04-1983,0.1605
19-04-1983,0.1639
20-04-1983,0.1622
21-04-1983,0.1788
22-04-1983,0.1814
25-04-1983,0.1779
26-04-1983,0.1696
27-04-1983,0.1744
28-04-1983,0.1727
29-04-1983,0.1744
02-05-1983,0.1762
03-05-1983,0.1709
04-05-1983,0.1692
05-05-1983,0.1796
06-05-1983,0.1914
09-05-1983,0.1923
10-05-1983,0.1897
11-05-1983,0.191
12-05-1983,0.1862
13-05-1983,0.1845
16-05-1983,0.1853
17-05-1983,0.1805
18-05-1983,0.181
19-05-1983,0.1831
20-05-1983,0.1888
23-05-1983,0.1984
24-05-1983,0.2006
25-05-1983,0.211
26-05-1983,0.2093
27-05-1983,0.2071
31-05-1983,0.2067
01-06-1983,0.2014
02-06-1983,0.2028
03-06-1983,0.2041
06-06-1983,0.2141
07-06-1983,0.2189
08-06-1983,0.2115
09-06-1983,0.2089
10-06-1983,0.2076
13-06-1983,0.2067
14-06-1983,0.1997
15-06-1983,0.1949
16-06-1983,0.1906
17-06-1983,0.1997
20-06-1983,0.1958
21-06-1983,0.1862
22-06-1983,0.1879
23-06-1983,0.1923
24-06-1983,0.1871
27-06-1983,0.1858
28-06-1983,0.1757
29-06-1983,0.1635
30-06-1983,0.1713
01-07-1983,0.1705
05-07-1983,0.1718
06-07-1983,0.1648
07-07-1983,0.1652
08-07-1983,0.1631
11-07-1983,0.1613
12-07-1983,0.1657
13-07-1983,0.1618
14-07-1983,0.1609
15-07-1983,0.1605
18-07-1983,0.1548
19-07-1983,0.1544
20-07-1983,0.1526
21-07-1983,0.1439
22-07-1983,0.1513
25-07-1983,0.1526
26-07-1983,0.1505
27-07-1983,0.1365
28-07-1983,0.1265
29-07-1983,0.1186
01-08-1983,0.1217
02-08-1983,0.1203
03-08-1983,0.1199
04-08-1983,0.1217
05-08-1983,0.116
08-08-1983,0.1181
09-08-1983,0.1186
10-08-1983,0.1199
11-08-1983,0.1195
12-08-1983,0.1177
15-08-1983,0.1169
16-08-1983,0.1199
17-08-1983,0.1181
18-08-1983,0.1156
19-08-1983,0.1169
22-08-1983,0.1177
23-08-1983,0.1173
24-08-1983,0.1108
25-08-1983,0.1055
26-08-1983,0.1064
29-08-1983,0.1077
30-08-1983,0.109
31-08-1983,0.1156
01-09-1983,0.1299
02-09-1983,0.1269
06-09-1983,0.1352
07-09-1983,0.1369
08-09-1983,0.1208
09-09-1983,0.1108
12-09-1983,0.1068
13-09-1983,0.1068
